    [ 0.52 0.16 0.65 0.18 0.89 0.56 0.84 0.82 0.81 0.66 1.00 0.61 0.90 0.65 0.60 0.89 0.61 0.76 0.87 0.63 0.17 0.45 0.33 0.16 0.97 0.85 0.44 0.29 0.41 0.43 0.88 0.85 0.59 0.90 0.57 0.97 0.26 0.62 0.16 0.28 0.30 0.16 0.84 0.19 0.17 0.69 0.51 0.22 ]
    [ 0.82 0.21 0.25 0.16 0.78 0.97 0.35 0.78 0.70 0.74 0.61 1.00 0.43 0.38 0.66 0.21 0.99 0.59 0.23 0.78 0.60 0.26 0.35 0.35 0.33 0.96 0.84 0.29 0.45 0.99 0.72 0.65 0.87 0.49 0.46 0.85 0.59 0.65 0.79 0.20 0.19 0.91 0.70 0.29 0.89 0.41 0.53 0.52 ]
    [ 0.52 0.42 0.48 0.20 0.86 0.32 0.35 0.17 0.29 0.55 0.90 0.43 1.00 0.35 0.49 0.48 0.77 0.79 0.54 0.39 0.24 0.49 0.76 0.23 0.49 0.99 1.00 0.18 0.60 0.66 0.51 0.77 0.30 0.44 0.65 0.31 0.29 0.59 0.99 0.48 0.28 0.46 0.24 0.27 0.34 0.96 0.23 0.25 ]
    [ 0.31 0.31 0.58 0.99 0.37 0.16 0.26 0.47 0.91 0.78 0.65 0.38 0.35 1.00 0.19 0.47 0.62 0.88 0.96 0.42 0.37 0.47 0.24 0.27 0.31 0.25 0.99 0.55 0.53 0.76 0.19 0.49 0.21 0.74 0.98 0.36 0.55 0.67 0.89 0.62 0.33 0.44 0.85 0.51 0.30 0.83 0.46 0.83 ]
    [ 0.21 0.31 0.22 0.95 0.79 0.60 0.53 0.35 0.44 0.36 0.60 0.66 0.49 0.19 1.00 0.34 0.93 0.24 0.84 0.50 0.65 0.82 0.38 0.75 0.50 0.44 0.56 0.65 0.91 0.92 0.36 0.73 0.99 0.32 0.55 0.55 0.38 0.99 0.38 0.98 0.67 0.96 0.50 0.68 0.92 0.30 0.54 0.59 ]
    [ 0.26 0.48 0.44 0.58 0.43 0.24 0.93 0.93 0.62 0.76 0.89 0.21 0.48 0.47 0.34 1.00 0.68 0.66 0.46 0.28 0.28 0.93 0.62 0.86 0.31 0.71 0.31 0.46 0.26 0.91 0.55 0.34 0.26 0.98 0.95 0.20 0.54 0.51 0.27 0.76 0.86 0.32 0.85 0.39 0.55 0.55 0.48 0.43 ]
    [ 0.74 0.36 0.55 0.59 0.65 0.24 0.77 0.36 0.88 0.19 0.61 0.99 0.77 0.62 0.93 0.68 1.00 0.72 0.23 0.88 0.90 0.25 0.35 0.72 0.40 0.48 0.92 0.33 0.30 0.36 0.20 0.76 0.33 0.95 0.96 0.61 0.54 0.85 0.51 0.49 0.56 0.95 0.16 0.96 0.23 0.69 0.47 0.46 ]
    [ 0.97 0.22 0.80 0.49 0.42 0.80 0.74 0.61 0.55 0.33 0.76 0.59 0.79 0.88 0.24 0.66 0.72 1.00 0.87 0.59 0.67 0.57 0.43 0.28 0.48 0.53 0.71 0.77 0.57 0.26 0.82 0.24 0.47 0.75 0.82 0.83 0.18 0.86 0.97 0.77 0.33 0.41 0.60 0.97 0.58 0.48 0.32 0.55 ]
    [ 0.44 0.89 0.95 0.91 0.76 0.74 0.61 0.32 0.32 0.89 0.87 0.23 0.54 0.96 0.84 0.46 0.23 0.87 1.00 0.19 0.58 0.18 0.84 0.48 0.48 0.55 0.83 0.51 0.40 0.61 0.46 0.53 0.51 0.27 0.95 0.97 0.42 0.30 0.46 0.36 0.81 0.67 0.82 0.85 0.52 0.26 0.64 0.87 ]
    [ 0.43 0.97 0.46 0.55 0.73 0.69 0.62 0.30 0.66 0.86 0.63 0.78 0.39 0.42 0.50 0.28 0.88 0.59 0.19 1.00 0.63 0.68 0.99 0.75 0.98 0.89 0.71 0.87 0.37 0.64 0.80 0.32 0.20 0.59 0.59 0.49 0.95 0.40 0.18 0.63 0.34 0.88 0.73 0.73 0.86 0.67 0.53 0.73 ]
    [ 0.65 0.50 0.78 0.24 0.75 0.48 0.88 0.94 0.16 0.78 0.17 0.60 0.24 0.37 0.65 0.28 0.90 0.67 0.58 0.63 1.00 0.27 0.37 0.63 0.71 0.89 0.41 0.60 0.66 0.48 0.57 0.62 0.69 0.47 0.19 0.68 0.99 0.95 0.72 0.95 0.28 0.62 0.37 0.82 0.53 0.40 0.54 0.18 ]
    [ 0.23 0.79 0.34 0.91 0.60 0.64 0.89 0.43 0.89 0.15 0.45 0.26 0.49 0.47 0.82 0.93 0.25 0.57 0.18 0.68 0.27 1.00 0.43 0.55 0.47 0.35 0.30 0.61 0.56 1.00 0.45 0.15 0.22 0.55 0.19 0.25 0.64 0.96 0.90 0.41 0.54 0.81 0.72 0.59 1.00 0.71 0.80 0.38 ]
    [ 0.63 0.47 0.15 0.74 0.19 0.38 0.53 0.72 0.31 0.40 0.33 0.35 0.76 0.24 0.38 0.62 0.35 0.43 0.84 0.99 0.37 0.43 1.00 0.64 0.83 0.82 0.44 0.16 0.52 0.77 0.65 0.54 0.34 0.29 0.80 0.51 0.77 0.89 0.42 0.44 0.79 0.84 0.50 0.60 0.93 0.91 0.58 0.38 ]
    [ 0.93 0.31 0.79 0.79 0.20 0.92 0.84 0.67 0.76 0.94 0.16 0.35 0.23 0.27 0.75 0.86 0.72 0.28 0.48 0.75 0.63 0.55 0.64 1.00 0.59 0.95 0.90 0.90 0.46 0.54 0.77 0.99 0.73 0.96 0.86 0.81 0.23 0.79 0.83 0.46 0.99 0.19 0.61 0.44 0.34 0.65 0.47 0.69 ]
    [ 0.47 0.92 0.69 0.61 0.94 0.32 0.92 0.51 0.19 0.31 0.97 0.33 0.49 0.31 0.50 0.31 0.40 0.48 0.48 0.98 0.71 0.47 0.83 0.59 1.00 0.44 0.94 0.46 0.19 0.55 0.82 0.51 0.31 0.96 0.40 0.98 0.88 0.98 0.47 0.20 0.38 0.70 0.88 1.00 0.80 0.63 0.30 0.30 ]
    [ 0.23 0.63 0.56 0.28 0.66 0.99 0.33 0.63 0.66 0.44 0.85 0.96 0.99 0.25 0.44 0.71 0.48 0.53 0.55 0.89 0.89 0.35 0.82 0.95 0.44 1.00 0.68 0.50 0.63 0.21 0.64 0.79 0.78 0.17 0.50 0.98 0.91 0.47 0.31 0.86 0.27 0.57 0.20 0.77 0.74 0.54 0.76 0.16 ]
    [ 0.95 0.55 0.48 0.32 0.88 0.58 0.20 0.40 0.64 0.59 0.44 0.84 1.00 0.99 0.56 0.31 0.92 0.71 0.83 0.71 0.41 0.30 0.44 0.90 0.94 0.68 1.00 0.71 0.42 0.55 0.69 0.20 0.60 0.27 0.74 0.21 0.92 0.48 0.76 0.84 0.38 0.76 0.80 0.64 0.81 0.44 0.51 0.96 ]
    [ 0.97 0.98 0.63 0.40 0.49 0.72 0.63 0.56 0.21 0.23 0.29 0.29 0.18 0.55 0.65 0.46 0.33 0.77 0.51 0.87 0.60 0.61 0.16 0.90 0.46 0.50 0.71 1.00 0.20 0.90 0.57 0.84 0.18 0.35 0.30 0.37 0.73 0.19 0.16 0.29 0.49 0.73 0.22 0.58 0.39 0.58 0.43 0.51 ]
    [ 0.62 0.55 0.69 0.83 0.21 0.65 0.92 0.96 0.17 0.37 0.41 0.45 0.60 0.53 0.91 0.26 0.30 0.57 0.40 0.37 0.66 0.56 0.52 0.46 0.19 0.63 0.42 0.20 1.00 0.74 0.95 0.73 0.83 0.26 0.99 0.66 0.65 0.18 0.73 0.71 0.87 0.78 0.64 0.32 0.36 0.56 0.19 0.77 ]
    [ 0.58 0.60 0.33 0.86 0.32 0.46 0.69 0.20 0.35 0.82 0.43 0.99 0.66 0.76 0.92 0.91 0.36 0.26 0.61 0.64 0.48 1.00 0.77 0.54 0.55 0.21 0.55 0.90 0.74 1.00 0.54 0.79 0.46 0.35 0.20 0.43 0.84 0.86 0.52 0.42 0.89 0.42 0.37 0.53 0.59 0.78 0.84 0.17 ]
    [ 0.59 0.58 0.85 0.50 0.93 0.70 0.42 0.24 0.42 0.78 0.88 0.72 0.51 0.19 0.36 0.55 0.20 0.82 0.46 0.80 0.57 0.45 0.65 0.77 0.82 0.64 0.69 0.57 0.95 0.54 1.00 0.54 0.56 0.61 0.95 0.22 0.91 0.47 0.98 0.69 0.84 0.19 0.35 0.38 0.23 0.82 0.85 0.74 ]
    [ 0.92 0.25 0.50 0.72 0.60 0.63 0.60 0.95 0.22 0.53 0.85 0.65 0.77 0.49 0.73 0.34 0.76 0.24 0.53 0.32 0.62 0.15 0.54 0.99 0.51 0.79 0.20 0.84 0.73 0.79 0.54 1.00 0.31 0.33 0.99 0.79 0.39 0.45 0.82 0.65 0.85 0.42 0.87 1.00 0.46 0.59 0.90 0.98 ]
    [ 0.44 0.64 0.75 0.86 0.91 0.64 0.21 0.61 0.34 0.23 0.59 0.87 0.30 0.21 0.99 0.26 0.33 0.47 0.51 0.20 0.69 0.22 0.34 0.73 0.31 0.78 0.60 0.18 0.83 0.46 0.56 0.31 1.00 0.22 0.42 0.84 0.46 0.65 0.64 0.45 0.97 0.62 0.50 0.67 0.88 0.34 0.23 0.97 ]
    [ 0.72 0.30 0.76 0.44 0.43 0.82 0.60 0.98 0.72 0.60 0.90 0.49 0.44 0.74 0.32 0.98 0.95 0.75 0.27 0.59 0.47 0.55 0.29 0.96 0.96 0.17 0.27 0.35 0.26 0.35 0.61 0.33 0.22 1.00 0.63 0.25 0.96 0.57 0.88 0.37 0.69 0.87 0.52 0.76 0.52 0.59 0.44 0.92 ]
    [ 0.57 0.29 0.23 0.76 0.66 0.97 0.18 0.60 0.38 0.31 0.57 0.46 0.65 0.98 0.55 0.95 0.96 0.82 0.95 0.59 0.19 0.19 0.80 0.86 0.40 0.50 0.74 0.30 0.99 0.20 0.95 0.99 0.42 0.63 1.00 0.85 0.98 0.76 0.37 0.44 0.31 0.15 0.22 0.90 0.48 0.60 0.34 0.34 ]
    [ 0.96 0.22 0.84 0.64 0.37 0.81 0.85 0.99 0.65 0.58 0.97 0.85 0.31 0.36 0.55 0.20 0.61 0.83 0.97 0.49 0.68 0.25 0.51 0.81 0.98 0.98 0.21 0.37 0.66 0.43 0.22 0.79 0.84 0.25 0.85 1.00 0.85 0.57 0.91 0.86 0.43 0.25 0.29 0.53 0.39 0.46 0.71 0.97 ]
    [ 0.50 0.33 0.73 0.23 0.24 0.60 0.86 0.49 0.65 0.58 0.26 0.59 0.29 0.55 0.38 0.54 0.54 0.18 0.42 0.95 0.99 0.64 0.77 0.23 0.88 0.91 0.92 0.73 0.65 0.84 0.91 0.39 0.46 0.96 0.98 0.85 1.00 0.60 0.78 0.85 0.97 0.22 0.84 0.33 0.89 0.25 0.46 0.69 ]
    [ 0.70 0.90 0.77 0.81 0.96 0.56 0.65 0.39 0.51 0.21 0.62 0.65 0.59 0.67 0.99 0.51 0.85 0.86 0.30 0.40 0.95 0.96 0.89 0.79 0.98 0.47 0.48 0.19 0.18 0.86 0.47 0.45 0.65 0.57 0.76 0.57 0.60 1.00 0.94 0.57 0.92 0.87 0.57 0.83 0.48 0.55 0.51 0.78 ]
    [ 0.89 0.68 0.89 0.15 0.30 0.53 0.95 0.69 0.40 0.61 0.16 0.79 0.99 0.89 0.38 0.27 0.51 0.97 0.46 0.18 0.72 0.90 0.42 0.83 0.47 0.31 0.76 0.16 0.73 0.52 0.98 0.82 0.64 0.88 0.37 0.91 0.78 0.94 1.00 0.55 0.27 0.61 0.63 0.40 0.27 0.83 0.23 0.61 ]
    [ 0.56 0.47 0.56 0.30 0.94 0.66 0.28 0.88 0.56 0.74 0.28 0.20 0.48 0.62 0.98 0.76 0.49 0.77 0.36 0.63 0.95 0.41 0.44 0.46 0.20 0.86 0.84 0.29 0.71 0.42 0.69 0.65 0.45 0.37 0.44 0.86 0.85 0.57 0.55 1.00 0.51 0.15 0.62 0.16 0.95 0.35 0.42 0.83 ]
    [ 0.74 0.31 0.47 0.37 0.78 1.00 0.38 0.85 0.35 0.48 0.30 0.19 0.28 0.33 0.67 0.86 0.56 0.33 0.81 0.34 0.28 0.54 0.79 0.99 0.38 0.27 0.38 0.49 0.87 0.89 0.84 0.85 0.97 0.69 0.31 0.43 0.97 0.92 0.27 0.51 1.00 0.23 0.70 0.95 0.85 0.42 0.28 0.64 ]
    [ 0.94 0.89 0.46 0.33 0.43 0.85 0.44 0.42 0.56 0.71 0.16 0.91 0.46 0.44 0.96 0.32 0.95 0.41 0.67 0.88 0.62 0.81 0.84 0.19 0.70 0.57 0.76 0.73 0.78 0.42 0.19 0.42 0.62 0.87 0.15 0.25 0.22 0.87 0.61 0.15 0.23 1.00 0.59 0.63 0.67 0.29 0.52 0.61 ]
    [ 0.39 0.93 0.50 0.62 0.94 0.39 0.98 0.34 0.73 0.34 0.84 0.70 0.24 0.85 0.50 0.85 0.16 0.60 0.82 0.73 0.37 0.72 0.50 0.61 0.88 0.20 0.80 0.22 0.64 0.37 0.35 0.87 0.50 0.52 0.22 0.29 0.84 0.57 0.63 0.62 0.70 0.59 1.00 0.82 0.42 0.22 0.19 0.27 ]
    [ 0.34 0.28 0.58 0.55 0.35 0.66 0.25 0.91 0.98 0.70 0.19 0.29 0.27 0.51 0.68 0.39 0.96 0.97 0.85 0.73 0.82 0.59 0.60 0.44 1.00 0.77 0.64 0.58 0.32 0.53 0.38 1.00 0.67 0.76 0.90 0.53 0.33 0.83 0.40 0.16 0.95 0.63 0.82 1.00 0.75 0.62 0.72 0.90 ]
    [ 0.51 0.57 0.57 0.75 0.48 0.56 0.28 0.95 0.79 0.36 0.17 0.89 0.34 0.30 0.92 0.55 0.23 0.58 0.52 0.86 0.53 1.00 0.93 0.34 0.80 0.74 0.81 0.39 0.36 0.59 0.23 0.46 0.88 0.52 0.48 0.39 0.89 0.48 0.27 0.95 0.85 0.67 0.42 0.75 1.00 0.80 0.45 0.32 ]
    [ 0.98 0.30 0.18 0.99 0.99 0.90 0.67 0.37 0.89 0.22 0.69 0.41 0.96 0.83 0.30 0.55 0.69 0.48 0.26 0.67 0.40 0.71 0.91 0.65 0.63 0.54 0.44 0.58 0.56 0.78 0.82 0.59 0.34 0.59 0.60 0.46 0.25 0.55 0.83 0.35 0.42 0.29 0.22 0.62 0.80 1.00 0.16 0.81 ]
    [ 0.69 0.46 0.74 0.35 0.84 0.83 0.21 0.36 0.77 0.93 0.51 0.53 0.23 0.46 0.54 0.48 0.47 0.32 0.64 0.53 0.54 0.80 0.58 0.47 0.30 0.76 0.51 0.43 0.19 0.84 0.85 0.90 0.23 0.44 0.34 0.71 0.46 0.51 0.23 0.42 0.28 0.52 0.19 0.72 0.45 0.16 1.00 0.82 ]
    [ 0.77 0.68 0.71 0.73 0.66 0.34 0.45 0.66 0.92 0.91 0.22 0.52 0.25 0.83 0.59 0.43 0.46 0.55 0.87 0.73 0.18 0.38 0.38 0.69 0.30 0.16 0.96 0.51 0.77 0.17 0.74 0.98 0.97 0.92 0.34 0.97 0.69 0.78 0.61 0.83 0.64 0.61 0.27 0.90 0.32 0.81 0.82 1.00 ]
];
